DATE,Count,NAME,AWND,TAVG,SNOW,PRCP,WT03,WT08,TMIN,TMAX
1/10/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.63,5,0,0,,,-2,24
1/11/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,26,2.6,0.19,,,22,32
1/12/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,23,0.4,0,,1,15,28
1/13/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,17,0.2,0,,,3,19
1/14/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.49,11,0,0,,,1,19
1/15/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.07,22,0,0,,,17,34
1/16/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,28,0,0,,,23,34
1/17/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.43,34,0,0,,,26,42
1/18/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,37,0,0,,,27,40
1/19/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,32,0,0,,,25,41
1/20/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,34,0,0,,,29,36
1/21/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,31,0.1,0.01,,,29,33
1/22/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,30,0,0,,,28,31
1/23/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,30,0,0,,,29,31
1/24/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.05,33,0,0,,,29,43
1/25/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.54,31,0.6,0.08,,,24,34
1/26/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.59,23,1,0.07,,,15,26
1/27/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.04,27,0,0,,,20,32
1/28/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.96,26,0,0.01,,,19,34
1/29/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.87,33,0.1,0.01,,1,28,35
1/30/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,27,0,0,,,18,30
1/31/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,27,1.3,0.12,,,19,36
2/1/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18.34,29,16.2,0.87,,,19,31
2/2/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,15,1.8,0.05,,,6,19
2/3/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,13,1.6,0.09,,,2,26
2/4/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,21,0.3,0.02,,,4,25
2/5/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,7,0,0,,,-2,15
2/6/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,17,0,0,,,13,31
2/7/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.61,29,0,0,,,18,41
2/8/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,36,0,0.01,,1,25,39
2/9/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,26,0,0,,,19,27
2/10/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,25,0,0,,,14,33
2/11/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,31,0,0,,1,18,35
2/12/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.97,16,0,0,,1,8,18
2/13/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,11,0,0,,,5,26
2/14/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19.46,19,0.2,0,,1,1,27
2/15/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.17,4,0.2,0.03,,,-3,15
2/16/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.92,12,0,0,,,5,18
2/17/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,17,0.1,0,,1,8,19
2/18/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.21,7,0,0,,1,-3,8
2/19/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11.41,-2,0,0,,,-8,4
2/20/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.2,3,0.2,0.01,,,-7,18
2/21/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.25,22,0,0,,1,17,32
2/22/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.2,21,0,0,,,2,28
2/23/15,1,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.84,4,0,0,,,-4,12
2/24/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.88,11,0.1,0.01,,,4,29
2/25/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,21,2,0.17,,,10,26
2/26/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.53,17,3.7,0.17,,,0,19
2/27/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.28,6,0,0,,,-2,14
2/28/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.37,6,0.4,0.02,,,-10,21
3/1/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.93,18,0,0,,1,10,25
3/2/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.38,21,0,0,,,13,33
3/3/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,28,0.7,0.13,,1,24,34
3/4/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.42,24,0,0,,,10,31
3/5/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9.62,12,0,0,,,3,16
3/6/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.2,12,0,0,,,0,27
3/7/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.51,32,0,0,,1,24,44
3/8/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,35,0,0,,,28,40
3/9/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.26,37,0,0,,1,25,50
3/10/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.71,40,0,0,,1,35,51
3/11/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6.26,42,0,0,,1,30,51
3/12/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.5,42,0,0,,,28,56
3/13/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5.82,47,0,0,,,37,65
3/14/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.3,51,0,0,,1,37,60
3/15/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10.29,45,0,0,,,29,62
3/16/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12.75,58,0,0,,,42,73
3/17/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14.09,45,0,0,,,28,45
3/18/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4.7,37,0,0,,,28,50
3/19/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7.83,42,0,0,,,37,46
3/20/15,0,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.95,42,0,0,,1,38,50
